fact_id,uuid,indicator_id,location_id,categoryoption_id,datasource_id,measuremethod_id,numerator_value,denominator_value,value_received,min_value,max_value,target_value,string_value,start_period,end_period,period,comment
101,63fa6d35-8629-42a2-abf2-34c1c5d45d8f,35,2,999,3,1,NULL,NULL,90,NULL,NULL,NULL,NULL,2019,2019,2019,approved
102,4d18eb18-25fc-4397-a4d9-26eeb7fb8d6a,35,2,999,3,1,NULL,NULL,90,NULL,NULL,NULL,NULL,2018,2018,2018,approved
103,5b13b0bd-ba96-4093-a335-92b394c215a7,35,3,999,3,1,NULL,NULL,90,NULL,NULL,NULL,NULL,2019,2019,2019,approved
104,8bffb91b-7e55-4e50-952f-30c57af8a485,35,3,999,3,1,NULL,NULL,80,NULL,NULL,NULL,NULL,2018,2018,2018,approved
105,eb070a03-7a60-4344-b01c-2fc3bc3b77a1,35,4,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
106,acea6705-cfda-4d74-98fd-d418b5f62e69,35,4,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
107,ef4d7f42-f2e2-47d3-8122-e2df604b186a,35,5,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
108,0e0bbc74-346c-41e2-8a9a-b3d0384e72c6,35,5,999,3,1,NULL,NULL,10,NULL,NULL,NULL,NULL,2018,2018,2018,approved
109,fcd60097-6c32-4e58-b115-b117d7e58c79,35,6,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
110,da5f09a5-3540-4588-aee4-a3934acd8dad,35,6,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
111,e0f75db7-b6d0-4839-bdd6-676ee28fb7e0,35,7,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
112,4edc5c4a-18b9-4b56-96ee-d7ebf743518d,35,7,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
113,be0adc72-c94b-48d7-ac60-92c1f5a376c8,35,9,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
114,79c58660-d598-4a5b-a148-cfee0f74b0a6,35,9,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
115,5ea30aab-51ea-4606-8ad7-38be480566c9,35,8,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
116,41275678-f66b-47a5-88c4-724cffdcc9f3,35,8,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2018,2018,2018,approved
117,ca85289f-56f8-4a77-b42b-3dcc73b080b0,35,10,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
118,9c2382b6-ce6e-4ba9-a27d-ab04fe9d6e9f,35,10,999,3,1,NULL,NULL,0,NULL,NULL,NULL,NULL,2018,2018,2018,approved
119,75695ae0-c2d6-44c5-8ee4-271e9a700f54,35,11,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2019,2019,2019,approved
120,6ab6aaa0-a95d-4a6a-9f6d-f670ebceda19,35,11,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
121,2eb07c39-0424-4bd0-8b1b-e383c14a8684,35,12,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
122,75d21b6b-9448-4bd7-b6a5-f4b4992f4a97,35,12,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2018,2018,2018,approved
123,debb1419-b4a9-414c-b6a8-b694d8e9b6e3,35,13,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
124,327b9d29-323e-49dd-af64-1a92b436f417,35,13,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
125,59eca870-2c7b-4a63-b143-6577e178798a,35,14,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2018,2018,2018,approved
126,c13b13f7-19a5-4cd5-a069-6eeef1f0a8c6,35,14,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
127,546d74bf-04a4-4082-97be-0fbc579416ec,35,15,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
128,bd8db080-cf96-4753-8d01-67fcb064c1c8,35,15,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
129,c8b41d43-c075-4b77-9dc5-ce7457d72ec1,35,16,999,3,1,NULL,NULL,0,NULL,NULL,NULL,NULL,2018,2018,2018,approved
130,d6dcef5b-2052-46b2-a5dd-8ea5a0ccec00,35,16,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
131,8c20c901-21bd-4f2a-99d9-14f0c6c8a47f,35,17,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
132,51a90865-d1ec-410d-a901-3243abe9f840,35,17,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
133,f7f3b6db-b893-4d2e-8f86-855df0197526,35,43,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
134,0f322f76-68de-42ae-bcf7-f0b1d0ec25d8,35,43,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
135,90fac000-ee54-4bdb-9de6-eaf7c1a8fcd6,35,18,999,3,1,NULL,NULL,80,NULL,NULL,NULL,NULL,2019,2019,2019,approved
136,2607540d-f19e-41c7-bcb7-52b35b2a0695,35,18,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
137,9f962dbc-d507-44cf-87ac-d3b029e10f6c,35,19,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
138,a4b2b7c2-e2e8-479e-947f-e990f8aa9379,35,19,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
139,72fb6783-6358-4c09-9e51-c9e4242249df,35,20,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
140,c5388144-5f3e-495d-b293-91d3f1fa6149,35,20,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
141,3d03e9b3-3a1a-4f89-bcd3-2f7babe1bf0c,35,21,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
142,c9b9783d-900d-4506-91cd-79da442273b2,35,21,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
143,328514f9-8114-4316-bcfa-3d6b67472a83,35,22,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
144,0eb8e45e-187d-484b-9eb4-c9ebb1b3f351,35,22,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
145,5ed6466d-d6f1-4444-9250-1419f8d9cf4c,35,23,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2019,2019,2019,approved
146,d287f479-2b1f-4d8c-b99d-9eda5539ea04,35,23,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2018,2018,2018,approved
147,8b0dea7d-3778-4f03-bc52-581eb2884003,35,24,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
148,df0a7ec7-7108-48f6-8d5c-5415cf1d3776,35,24,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2018,2018,2018,approved
149,4b52b7e9-2518-4be9-bce4-46926199931f,35,25,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2018,2018,2018,approved
150,8816abb0-5b94-4834-9f64-c701566cfd67,35,25,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
151,c2a293d3-47df-4620-9a9f-f0446945a625,35,26,999,3,1,NULL,NULL,70,NULL,NULL,NULL,NULL,2019,2019,2019,approved
152,2bacbc86-469b-46e0-b75d-dfbf6b7eb315,35,26,999,3,1,NULL,NULL,70,NULL,NULL,NULL,NULL,2018,2018,2018,approved
153,e20d813b-a180-45a3-a80a-0c743c55c21c,35,27,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2019,2019,2019,approved
154,bf9fe958-5bf9-4ca7-8e35-5e75f3ad18c2,35,27,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
155,4ab3d3a6-7db4-4d9f-bf29-d9589ab90646,35,28,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
156,427e6817-3b3b-4fbd-9200-cddc6568967f,35,28,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2018,2018,2018,approved
157,7c2807db-4c06-4c87-984e-ea6010026a36,35,29,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
158,c8ed55fd-d6ad-4713-a18f-ca5171f9e2bf,35,29,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
159,6fd13b8f-dd57-4cc1-a957-a970934dab16,35,30,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
160,1eeeebd9-174b-4bc0-a4f7-c7e3a63dd5b2,35,30,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2018,2018,2018,approved
161,c27bfdb5-ccf9-4896-b515-f90b659a3a3e,35,32,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
162,9a8b4e75-e5d5-4f36-a8ee-f2881cf6fd84,35,32,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
163,d81558d8-3c76-4ca2-83ef-8dd2ed0b427c,35,33,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
164,f1737fa1-6c74-4372-991d-5851aa841cf8,35,33,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
165,cb8723f7-8e7f-4fe6-bfbf-6ed2eacf0fd8,35,34,999,3,1,NULL,NULL,70,NULL,NULL,NULL,NULL,2019,2019,2019,approved
166,fb7594c3-0465-422c-a3b5-e20eb3f6c04e,35,34,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
167,72e50948-ffa7-45e5-956f-00ee4df60cb2,35,35,999,3,1,NULL,NULL,100,NULL,NULL,NULL,NULL,2018,2018,2018,approved
168,edbab311-bbb3-41b1-964b-44f60fc0f9bd,35,35,999,3,1,NULL,NULL,100,NULL,NULL,NULL,NULL,2019,2019,2019,approved
169,755481c3-20b4-4dbb-b709-3b62e93c0a89,35,36,999,3,1,NULL,NULL,90,NULL,NULL,NULL,NULL,2019,2019,2019,approved
170,eed66ff6-0d48-431e-a754-88ee3e5a9b38,35,36,999,3,1,NULL,NULL,90,NULL,NULL,NULL,NULL,2018,2018,2018,approved
171,849509d0-38cd-4f11-9b11-4a9c359e03cb,35,39,999,3,1,NULL,NULL,20,NULL,NULL,NULL,NULL,2018,2018,2018,approved
172,948aa62c-8fb6-43d4-b145-3d4968a3232a,35,39,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
173,ff4e8776-61ee-4f69-be3a-92ee4a4b13ba,35,40,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
174,a151fefc-28c1-4520-9a32-46c6133b31d7,35,40,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
175,806d6412-5681-4654-b1ff-a83e8c9683a5,35,41,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
176,50aafc74-103e-4ee5-bdd9-18bde0d4f74c,35,41,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
177,c08dda32-074c-438c-93ee-7f4682d3326d,35,42,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
178,7ea949f1-a3cb-40c5-8f2e-e810640a425f,35,42,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2018,2018,2018,approved
179,6511d3e2-2bc6-4b30-bf22-375ad537d51c,35,44,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2019,2019,2019,approved
180,793eb7ca-1577-4086-a875-d775ecf7c9c6,35,44,999,3,1,NULL,NULL,30,NULL,NULL,NULL,NULL,2018,2018,2018,approved
181,9fe1271e-9362-4760-815e-760c745f6da1,35,45,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
182,3e6f2e8b-adc1-47f9-8f90-dc96c4a5c956,35,45,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
183,619fc6a0-ad1a-4202-974d-3add57f16d7c,35,46,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2019,2019,2019,approved
184,3933f046-ef6f-40bd-8c86-946546c57ea8,35,46,999,3,1,NULL,NULL,60,NULL,NULL,NULL,NULL,2018,2018,2018,approved
185,af8ab144-d618-4a63-9f74-9eb7865d3e3f,35,47,999,3,1,NULL,NULL,80,NULL,NULL,NULL,NULL,2019,2019,2019,approved
186,394e518b-0868-4798-bbb1-452890bd4623,35,47,999,3,1,NULL,NULL,40,NULL,NULL,NULL,NULL,2018,2018,2018,approved
187,5cf783c8-7ca5-4ac4-a62a-0988b0fdc035,35,48,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
188,6194ad2c-bd82-465e-bbd0-6d4e8c345601,35,48,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2018,2018,2018,approved
189,132d4329-fedf-4939-8762-1ebebaec2977,35,1,999,3,1,NULL,NULL,46,NULL,NULL,NULL,NULL,2018,2018,2018,approved
190,8357ee59-3bdb-43e9-92f6-68849746c6e0,35,1,999,3,1,NULL,NULL,50,NULL,NULL,NULL,NULL,2019,2019,2019,approved
191,d5cb0801-6bbe-48bb-bf36-233e1ef8a457,417,2,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
192,a5d06d24-5254-420a-911b-296e6435b2b3,417,3,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
193,b42a8639-d0b6-4ded-8b2c-0693c2758673,417,4,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
194,adecfbc6-9c0f-4a19-87b7-fa0604243676,417,5,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
195,993065e3-9fb9-47a3-9bd1-800d5ba34ddd,417,7,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
196,4b540459-9d41-4dbe-8914-bd9f8d472276,417,9,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
197,36afa8ed-189e-4f08-975b-e68da91b3eab,417,8,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
198,fd3746b7-4af2-4413-bb8e-e662b05f4ae3,417,10,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
199,fdf06639-77df-4600-ad89-abcc14d7598d,417,11,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
200,af991c1e-5736-4b0a-be2b-f130cbe2fbbc,417,12,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
201,5938b330-d19d-4229-93d9-1ed60048b020,417,13,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
202,855b30ca-485a-4283-9a79-fecd214a8802,417,15,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
203,faf6faff-aef5-42b8-a915-aa5cba82b9db,417,16,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
204,0e0ced74-dc0c-4ac7-9e43-153513beb715,417,17,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
205,306eaae1-d7cb-4aef-a78a-84cc29100ba0,417,43,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
206,adaebe8e-32f5-4e6a-876b-86e67a3e5ed1,417,19,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
207,91ddc7a4-fe67-41ca-b870-5591a3478822,417,20,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
208,eaf9760a-862d-42d8-99b1-6bb2d4784d1a,417,21,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
209,ede06d45-484c-411d-a1a6-b3bc26a2101b,417,8,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
210,3182cf44-7e11-4276-8b68-87a515f08d8d,417,11,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
211,f79a441d-39a8-4f4e-a12a-8e5a405aac5d,417,12,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
212,241cd3f1-29ef-47d4-ab01-a8c5a5e2a41e,417,20,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
213,97d31439-df4b-41e7-961f-e3f87d37b8a6,417,4,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2015,2015,2015,pending
214,ab2c6b89-c326-4d27-92ce-70f725af4d82,417,7,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2015,2015,2015,pending
215,87040f1d-8e36-4319-912e-4f6c7c566ae3,417,13,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2015,2015,2015,pending
216,96cbee85-3524-469b-8f37-b15a83a86c4f,417,23,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
217,df24c303-d7ef-4d8a-9903-5583c78f92f2,417,25,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
218,ca935212-d9dc-4c3e-b288-affb9e3f7814,417,26,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
219,f8f3f8ee-0409-4e25-b258-d5c05aa66797,417,29,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
220,820a1f02-88c0-49da-a9f1-90f1adff9820,417,30,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
221,834fb7ee-2844-4255-b8aa-7e4079653379,417,31,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
222,e5d92e26-8cb3-404e-abb3-7d039ca76352,417,33,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
223,1cead408-dad0-4825-8d97-86ece083ee6d,417,34,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
224,a4245894-86c6-4983-b31b-232ec060c598,417,35,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
225,4947b311-e09f-4c6e-8235-76fe0556d7f8,417,36,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
226,305b8e48-ab11-4fad-aa1b-979e72f1544d,417,37,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
227,ca9f8096-0769-4b2b-afff-05c45cbf3d73,417,39,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
228,9328799e-5b42-4add-9a79-37f11a6f3ed5,417,40,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
229,3ef7a12a-2150-48b7-a0b0-42344d4bae4d,417,42,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
230,86bad81f-eb72-4184-80d0-5f828e8fdd5f,417,44,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
231,670c76f6-4d21-4a07-a49a-d8cf18261b53,417,45,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
232,612f7f82-1080-425f-b772-dcfc814ba7f9,417,23,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
233,327438e9-2213-4ea9-b7bc-25e29b5eb932,417,26,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
234,082094d1-5878-486d-adea-f5fe6e5e69c3,417,33,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
235,c30dedba-fcf7-465f-9bb7-7d061fbe0cd9,417,34,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
236,35172219-9cb8-4079-b8a5-b751b548ede2,417,38,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
237,6a8f11d7-a7e9-49cf-ae54-9443e79d839a,417,40,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
238,47bc1168-0d9a-4151-9a96-6427ce26e8d0,417,42,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
239,ed40d00e-074a-463a-963d-c45a1269808b,417,44,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
240,b977d033-df13-469b-9479-043280be7dd8,417,30,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2015,2015,2015,pending
241,30ece102-e0fb-4704-92ab-499a5ebddce6,417,34,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2015,2015,2015,pending
242,4595a16b-3a45-4f06-a828-ed23442f84ae,417,38,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2015,2015,2015,pending
243,9ada3d9f-c08a-4a63-b099-3be485b3a2dc,417,40,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2015,2015,2015,pending
244,dd3e282d-daf2-4c02-b823-00482985170f,417,46,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
245,2f16d049-613c-4f06-b373-dfdd6b110c3b,417,47,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
246,16b3f5e7-0269-4340-9909-809a5c23c90d,417,48,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2019,2019,2019,pending
247,f50302cf-07b7-4db9-83b4-c106fd08d037,417,46,999,3,3,NULL,NULL,999,NULL,NULL,NULL,NULL,2017,2017,2017,pending
